"","matrix.0..ncol...1..nrow...200.","I","IT","IW","IF","IMar","IPeb","IPew","IFWtd","IMarWtd","IPebWtd","IPewWtd","I_coef","TI_coef","WI_coef","FenI_coef","MarI_coef","PebI_coef","PewI_coef","IBogWtd","PewI_coefW","FenI_coefW","MarI_coefW","PebI_coefW","BogI_coefW"
"33",0,0.877995934104547,0.212519496446475,0.496653949376196,0.274871716974303,0.494978080270812,0.445872513344511,0.771545557770878,0.0279522957280278,0.68632340664044,0.399939155438915,0.475405147532001,1.64758157232706,0.00245678391758509,0.0113407059356922,0.29016407368218,0.584486103336817,-0.228531528013405,0.295350843691536,0.161629460984841,0.6558457820856,0.339457873579026,1.05724290236611,-28.6795979949585,-7.17486489059391
"34",0,0.654522017110139,0.183243501232937,0.851547957165167,0.126590762520209,0.387429781258106,0.358587592840195,0.882809376809746,0.349673983640969,0.2429256408941,0.217259188182652,0.7247678283602,1.66461148763764,0.000831968719746914,0.0147048194913961,0.281951673421547,0.586121218373813,-0.235634952122032,0.212659132706412,0.505755197722465,4.19010128666812,-8.7016170273655,-7.19442158203316,-34.4771661673609,-23.0691170188967
"35",0,0.482370894635096,0.272856254596263,0.0910875229164958,0.103466429049149,0.817444114712998,0.342039614915848,0.388670022366568,0.241194790229201,0.060438736807555,0.70526571245864,0.4091749668587,1.63434840621017,0.00299718849799443,0.0120318090718325,0.276722186290378,0.587546851408479,-0.228125711214197,0.247806827970387,0.104472958249971,-3.44239996852493,4.11629533415325,4.10179131777565,-9.69828407027639,-29.5012817207587
"36",0,0.971029797103256,0.580793056404218,0.86627321713604,0.309866570169106,0.604206112446263,0.177093506557867,0.764152095653117,0.00591220497153699,0.689884402789176,0.375377180520445,0.0294063223991543,1.65396768137881,0.00161043580725706,0.0107178776777002,0.27433681051564,0.582475305756461,-0.216914024721638,0.14080872089445,0.210284303640947,4.70145920424234,1.1643633537068,-2.34281283441063,12.1643724544207,-15.7977075199493
"37",0,0.460025910520926,0.956828356254846,0.558250875910744,0.777357275597751,0.304766541346908,0.939714039908722,0.347918705781922,0.0603366836439818,0.883330707903951,0.212331427726895,0.57690226403065,1.65322592145973,0.00213334552136941,0.011809210819732,0.285201231469115,0.578982961232492,-0.241942585732772,0.286152422520405,0.322696138173342,-7.39052641515718,-4.995306891115,-8.10409472015449,-36.470133234034,-5.56603977113796
"38",0,0.62205648701638,0.251723478315398,0.118179788580164,0.142382032005116,0.831187017960474,0.18589108902961,0.641714327735826,0.0778738672379404,0.266953068086877,0.36632820405066,0.435470025520772,1.65794141296995,0.00201692426009867,0.0114501401586636,0.276208347988988,0.581884148089285,-0.201610546625259,0.315983964157715,0.468052911572158,2.62228339883951,-9.01816161122914,-0.06342816067392,-35.2806032390152,-20.4170266843883
"39",0,0.388418034650385,0.237011644523591,0.215400000335649,0.799816126236692,0.585382185410708,0.806587984319776,0.341349759837613,0.441146912286058,0.79280156083405,0.709261237410828,0.286478340392932,1.64652536794336,0.00137370923412844,0.0124061278153883,0.286961030114483,0.578395286803549,-0.215875878319324,0.189259201400206,0.953860574867576,-0.385100832187237,-11.4497624829843,13.3786423928947,-33.1656165021517,-0.817346889477486
"40",0,0.00659272680059075,0.272420490160584,0.456668205559254,0.481295740464702,0.935355881927535,0.446870507672429,0.792810308514163,0.119755184976384,0.784218314336613,0.940919196698815,0.335590672213584,1.65161093225185,0.00135970679981665,0.0136033830974185,0.28508099414586,0.591439973540572,-0.232996556300583,0.362755616197829,0.228302526753396,2.50736656854684,4.68928947120581,0.648102942748524,-39.959877546485,-5.38637200527435
"41",0,0.938319087261334,0.447003526845947,0.38629160518758,0.562860265141353,0.279681055806577,0.636307660257444,0.309006865834817,0.185802530497313,0.040633621159941,0.0732357036322355,0.4580758146476,1.66015703220415,0.0024425973926149,0.0122247758970253,0.295921887754786,0.57924116845401,-0.240254041335414,0.322944311740211,0.610380322206765,4.82523320788895,-17.079650945832,2.76995928751812,-28.2752451344053,-16.2796084059512
"42",0,0.242171092424542,0.362594545353204,0.923286543693393,0.021419157506898,0.635771941160783,0.298038888489828,0.800048914737999,0.793488088762388,0.881922994041815,0.985797856235877,0.803494463209063,1.63314221430543,0.00284783557703409,0.0107009842209385,0.305291140487908,0.576890268121634,-0.222046263986221,0.192501952873388,0.359757907222956,6.91891558499464,10.2131938080148,5.40905812681818,0.734036726781348,-8.06722208461786
"43",0,0.565594530198723,0.158712107688189,0.74756260891445,0.852334445342422,0.111800370039418,0.104114722460508,0.811083210399374,0.953126996057108,0.786329582566395,0.592342932708561,0.820287852780893,1.65495173108267,0.00248540533191489,0.00939324487517089,0.291303383052603,0.574187132613333,-0.255273107403443,0.390850601919837,0.627643904881552,-3.64434206078829,-18.0510063647985,-27.8588909817491,-13.4981600873896,-12.1259871021199
"44",0,0.180899103172123,0.619552267715335,0.607300827279687,0.406655482947826,0.702435704646632,0.301982879173011,0.193776689935476,0.0793097708374262,0.505413799313828,0.884711791062728,0.133446898544207,1.65254235607701,0.00277757083345937,0.00842852410951381,0.298231580752129,0.582919611758171,-0.212850793271602,0.363723498400139,0.137339894892648,-4.52207682276703,-16.2661367306237,8.43227516545192,-40.6492530046502,-8.56798603801876
"45",0,0.904499290045351,0.969518254511058,0.445661142934114,0.256925635272637,0.567581873619929,0.68290277896449,0.718445771606639,0.535910513950512,0.0278184122871608,0.134532998781651,0.739863113267347,1.65267727498161,0.00261302111198954,0.0120909257357393,0.293696597832844,0.581686860838992,-0.245112044644635,0.273939366876969,0.515593991149217,-13.5959668934003,-22.6013736552128,-1.277353646966,-30.6103026815537,-36.6569316367115
"46",0,0.0842913051601499,0.0531939568463713,0.869689288316295,0.949398912722245,0.845197019167244,0.122852647909895,0.477817621547729,0.513452868442982,0.442820906639099,0.539842678233981,0.902166326763108,1.65962203621994,0.0022157171484394,0.00996869121858526,0.286697986264079,0.584569407412414,-0.232069382417065,0.242453300311003,0.0948746409267187,6.927728070398,-9.59075449936302,14.5328217930702,-23.0366925877642,-16.6692253310563
