field_1,RefID,Database,Reference,LatDec,LongDec,Site,SiteID,Country,ID,Ecosystem,SiteDescrip,Class,ShoulderSeason,Seas,Year.P,Years,SampleDays,Month.Numbers,SampMonths,Meth,Coll,Occ,GrowSL,CH4An,log.CH4,CH4.Pos,CH4Av,CH4Md,CH4Mx,NEPPer,ERPer,GEPPer,MAAT,MAP,TPer,AveGridTemp,TSoilA,TsoilB,TSoilDepth,WTAv,WTFit,WTMax,WTMin,WTFluc,SoilMoist,SoilMostD,Org,AL,Thaw,PfReg,PfConA,PfTh,pH,Sedge,Sphag,Moss,Trees,Shrubs,Annual.Temp,TotalID,CD_Pcp_An,BIOME,Occ.w,Cell_ID,Long,Lat,Area_Pct,Shp_Area,GLA,ROC,TUN,BOR,WET,PEB,WTU,MAR,BOG,FEN,LAK,LAL,MPL,MYL,MGL,SPL,SYL,SGL,RIV,LAR,SRR,SRP,GLA_L,GLA_H,ROC_L,ROC_H,TUN_L,TUN_H,BOR_L,BOR_H,WET_L,WET_H,PEB_L,PEB_H,WTU_L,WTU_H,MAR_L,MAR_H,BOG_L,BOG_H,FEN_L,FEN_H,LAK_L,LAK_H,LAL_L,LAL_H,MPL_L,MPL_H,MYL_L,MYL_H,MGL_L,MGL_H,SPL_L,SPL_H,SYL_L,SYL_H,SGL_L,SGL_H,RIV_L,RIV_H,LAR_L,LAR_H,SRR_L,SRR_H,SRP_L,SRP_H,WETSCAPE,CD_Tmp_m0,CD_Tmp_m1,CD_Tmp_m2,CD_Tmp_m3,CD_Tmp_m4,CD_Tmp_m5,CD_Tmp_m6,CD_Tmp_m7,CD_Tmp_m8,CD_Tmp_m9,CD_Tmp_m10,CD_Tmp_m11,CD_Tmp_An
"267","59",Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"32",Bog  ,"Open lichen rich low shrub bog, hummock",Bog,NA,S,"1994","1990",NA,"3",JuJA,C,"3","10",NA,NA,"1.257678575","18.1","8.1",NA,NA,NA,NA,NA,NA,NA,NA,"13.85",NA,"10.4","20","-20","-20",NA,NA,NA,NA,NA,"200",NA,NA,S,A,N,NA,P,P,A,A,NA,"-0.5",NorthPointBog,"646.415","6","1.04139268515823","1041",-81.75,51.75,100.00,1920916106.000000000000000,0.00,0.00,0.00,16.62,77.30,0.55,0.30,3.58,30.48,42.39,5.89,0.00,1.92,0.00,0.45,3.49,0.00,0.04,0.19,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.12,20.84,72.75,80.63,0.55,2.91,0.26,1.74,3.03,3.95,25.14,34.25,41.87,56.36,5.89,8.43,0.00,0.04,1.38,2.16,0.00,0.00,0.26,0.54,3.18,4.47,0.00,0.08,0.00,0.10,0.14,0.34,0.00,0.00,0.15,0.73,0.00,0.00,"9",-20.19000000000,-18.54190000000,-10.08260000000,-2.30851000000,6.21741000000,12.78410000000,15.87670000000,15.40630000000,10.28410000000,3.29148000000,-4.62333000000,-14.03440000000,-0.49338900000
"268","59",Olefeldt,"Moore et al., 1994, JGR",51.47,-80.61666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"7",Coastal Fen,open graminoid fen,Fen,NA,S,"1994","1990",NA,"3",JuJA,C,"3","10",NA,NA,"1.324282455","21.1","11.1",NA,NA,NA,NA,NA,NA,NA,"10.8","13.78333333",NA,"11.9","23","-1","-1",NA,NA,NA,NA,NA,"63",NA,NA,S,A,N,NA,P,P,NA,D,D,"2.67",NorthPointFen,"695.865","6","1.04139268515823","883",-80.75,51.25,100.00,1941884668.000000000000000,0.00,0.00,0.00,43.14,51.45,0.00,0.00,2.04,26.62,22.79,0.55,0.00,0.07,0.00,0.00,0.48,0.00,0.00,4.85,4.70,0.12,0.04,0.00,0.00,0.00,0.00,0.00,0.00,43.14,56.35,43.72,51.45,0.00,0.00,0.00,0.00,2.04,3.85,18.76,30.19,17.61,23.42,0.38,0.98,0.00,0.32,0.07,1.09,0.00,0.00,0.00,0.00,0.48,1.92,0.00,0.00,0.00,0.05,4.85,6.17,4.68,5.87,0.11,0.62,0.00,0.22,"6",-19.24930000000,-18.14180000000,-11.11960000000,-2.04555000000,6.59519000000,12.61370000000,15.75820000000,15.05070000000,10.55080000000,3.89148000000,-3.87518000000,-13.93540000000,-0.32557000000
"269","59",Olefeldt,"Moore et al., 1994, JGR",51.52,-80.45,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"19",Interior fen,open graminoid fen,Fen,NA,S,"1994","1990",NA,"3",JuJA,C,"3","10",NA,NA,"1.357934847","22.8","12.8",NA,NA,NA,NA,NA,NA,NA,"10.8","13.78333333",NA,"13.3","23","-5","-5",NA,NA,NA,NA,NA,"63",NA,NA,S,A,N,NA,P,P,NA,D,D,"2.67",NorthPointFen,"646.415",NA,"1.04139268515823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"270","59",Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"33",Bog  ,"Open lichen rich low shrub bog, hollow",Bog,NA,S,"1994","1990",NA,"3",JuJA,C,"3","10",NA,NA,"1.404833717","25.4","15.4",NA,NA,NA,NA,NA,NA,NA,NA,"13.85",NA,"9.7","20","-5","-5",NA,NA,NA,NA,NA,"200",NA,NA,S,A,N,NA,P,P,A,A,NA,"-0.5",NorthPointBog,"695.865","6","1.04139268515823","1041",-81.75,51.75,100.00,1920916106.000000000000000,0.00,0.00,0.00,16.62,77.30,0.55,0.30,3.58,30.48,42.39,5.89,0.00,1.92,0.00,0.45,3.49,0.00,0.04,0.19,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.12,20.84,72.75,80.63,0.55,2.91,0.26,1.74,3.03,3.95,25.14,34.25,41.87,56.36,5.89,8.43,0.00,0.04,1.38,2.16,0.00,0.00,0.26,0.54,3.18,4.47,0.00,0.08,0.00,0.10,0.14,0.34,0.00,0.00,0.15,0.73,0.00,0.00,"9",-20.19000000000,-18.54190000000,-10.08260000000,-2.30851000000,6.21741000000,12.78410000000,15.87670000000,15.40630000000,10.28410000000,3.29148000000,-4.62333000000,-14.03440000000,-0.49338900000
"271","59",Olefeldt,"Moore et al., 1994, JGR",51.3,-80.63333333,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"11,13",Tamarach fen,"Treed low shrub fen, hollow",Fen,NA,S,"1994","1990",NA,"3",JuJA,C,"3","10",NA,NA,"1.421603927","26.4","16.4",NA,NA,NA,NA,NA,NA,NA,"10.8","13.78333333",NA,"6.3","20","-1","-1",NA,NA,NA,NA,NA,"60",NA,NA,S,A,N,NA,P,P,NA,D,D,"-0.33",NorthPointFen,"646.415","6","1.04139268515823","883",-80.75,51.25,100.00,1941884668.000000000000000,0.00,0.00,0.00,43.14,51.45,0.00,0.00,2.04,26.62,22.79,0.55,0.00,0.07,0.00,0.00,0.48,0.00,0.00,4.85,4.70,0.12,0.04,0.00,0.00,0.00,0.00,0.00,0.00,43.14,56.35,43.72,51.45,0.00,0.00,0.00,0.00,2.04,3.85,18.76,30.19,17.61,23.42,0.38,0.98,0.00,0.32,0.07,1.09,0.00,0.00,0.00,0.00,0.48,1.92,0.00,0.00,0.00,0.05,4.85,6.17,4.68,5.87,0.11,0.62,0.00,0.22,"6",-19.24930000000,-18.14180000000,-11.11960000000,-2.04555000000,6.59519000000,12.61370000000,15.75820000000,15.05070000000,10.55080000000,3.89148000000,-3.87518000000,-13.93540000000,-0.32557000000
"272","59",Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"37",Bog  ,Open sphagnum bog,Bog,NA,S,"1994","1990",NA,"3",JuJA,C,"3","10",NA,NA,"1.620136055","41.7","31.7",NA,NA,NA,NA,NA,NA,NA,NA,"13.85",NA,"13","20","-10","-10",NA,NA,NA,NA,NA,"200",NA,NA,S,A,N,NA,P,P,A,A,NA,"-0.5",NorthPointBog,"646.415","6","1.04139268515823","1041",-81.75,51.75,100.00,1920916106.000000000000000,0.00,0.00,0.00,16.62,77.30,0.55,0.30,3.58,30.48,42.39,5.89,0.00,1.92,0.00,0.45,3.49,0.00,0.04,0.19,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.12,20.84,72.75,80.63,0.55,2.91,0.26,1.74,3.03,3.95,25.14,34.25,41.87,56.36,5.89,8.43,0.00,0.04,1.38,2.16,0.00,0.00,0.26,0.54,3.18,4.47,0.00,0.08,0.00,0.10,0.14,0.34,0.00,0.00,0.15,0.73,0.00,0.00,"9",-20.19000000000,-18.54190000000,-10.08260000000,-2.30851000000,6.21741000000,12.78410000000,15.87670000000,15.40630000000,10.28410000000,3.29148000000,-4.62333000000,-14.03440000000,-0.49338900000
"273","59",Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"39",Bog  ,open graminioid bog at lake margin,Bog,NA,S,"1994","1990",NA,"3",JuJA,C,"3","10",NA,NA,"1.811575006","64.8","54.8",NA,NA,NA,NA,NA,NA,NA,"10.8","13.85",NA,"7.8","20","0","0",NA,NA,NA,NA,NA,"200",NA,NA,S,A,N,NA,P,P,A,A,NA,"-0.5",NorthPointBog,"646.415","6","1.04139268515823","1041",-81.75,51.75,100.00,1920916106.000000000000000,0.00,0.00,0.00,16.62,77.30,0.55,0.30,3.58,30.48,42.39,5.89,0.00,1.92,0.00,0.45,3.49,0.00,0.04,0.19,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.12,20.84,72.75,80.63,0.55,2.91,0.26,1.74,3.03,3.95,25.14,34.25,41.87,56.36,5.89,8.43,0.00,0.04,1.38,2.16,0.00,0.00,0.26,0.54,3.18,4.47,0.00,0.08,0.00,0.10,0.14,0.34,0.00,0.00,0.15,0.73,0.00,0.00,"9",-20.19000000000,-18.54190000000,-10.08260000000,-2.30851000000,6.21741000000,12.78410000000,15.87670000000,15.40630000000,10.28410000000,3.29148000000,-4.62333000000,-14.03440000000,-0.49338900000
"274","59",Olefeldt,"Moore et al., 1994, JGR",51.55,-81.76666667,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,"38",Bog  ,Open sphagnum bog,Bog,NA,S,"1994","1990",NA,"3",JuJA,C,"3","10",NA,NA,"2.059941888","114.8","104.8",NA,NA,NA,NA,NA,NA,NA,NA,"13.85",NA,"12","20","5","5",NA,NA,NA,NA,NA,"200",NA,NA,S,A,N,NA,P,P,A,A,NA,"-0.5",NorthPointBog,"646.415","6","1.04139268515823","1041",-81.75,51.75,100.00,1920916106.000000000000000,0.00,0.00,0.00,16.62,77.30,0.55,0.30,3.58,30.48,42.39,5.89,0.00,1.92,0.00,0.45,3.49,0.00,0.04,0.19,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.12,20.84,72.75,80.63,0.55,2.91,0.26,1.74,3.03,3.95,25.14,34.25,41.87,56.36,5.89,8.43,0.00,0.04,1.38,2.16,0.00,0.00,0.26,0.54,3.18,4.47,0.00,0.08,0.00,0.10,0.14,0.34,0.00,0.00,0.15,0.73,0.00,0.00,"9",-20.19000000000,-18.54190000000,-10.08260000000,-2.30851000000,6.21741000000,12.78410000000,15.87670000000,15.40630000000,10.28410000000,3.29148000000,-4.62333000000,-14.03440000000,-0.49338900000
"275","60",Olefeldt,"Moosavi & Crill, 1997, JGR",55.91,-98.42,"Thompson, Manitoba",Thompson,Canada,BP Lichen,Boreal Wetlands,Upland lichen ,PermBog,Y,TSF,"1996","1994","118","5",MJuJAS,C,"4","16",NA,NA,"0.925312091","8.42","-1.58",NA,"5.21",NA,NA,NA,"-3.9","585",NA,"10.66",NA,NA,NA,NA,"-25",NA,NA,NA,NA,NA,NA,NA,NA,S,NA,N,NA,P,A,A,A,A,"-2.44",ThompsonPermBog,"519.239","6","1.23044892137827","2694",-98.25,55.75,100.00,1747826207.999999761581421,0.00,3.64,0.00,54.51,37.01,9.61,0.00,1.92,8.39,17.09,4.74,2.09,1.47,0.00,0.76,0.37,0.00,0.04,0.11,0.00,0.08,0.03,0.00,0.00,1.62,3.64,0.00,0.00,51.93,59.64,35.16,38.73,8.99,11.66,0.00,0.02,1.81,2.25,8.39,17.18,15.99,19.16,3.66,4.74,2.09,2.45,1.47,2.10,0.00,0.00,0.54,0.96,0.37,2.15,0.00,0.00,0.00,0.17,0.00,0.37,0.00,0.00,0.08,0.72,0.00,0.03,"6",-22.81220000000,-20.11220000000,-12.69740000000,-2.16036000000,6.09148000000,13.08780000000,16.36560000000,14.85070000000,8.52481000000,0.47667600000,-10.60110000000,-20.36800000000,-2.44619000000
"276","60",Olefeldt,"Moosavi & Crill, 1997, JGR",55.91,-98.42,"Thompson, Manitoba",Thompson,Canada,OBS feather moss,Boreal Wetlands,Upland feather moss,PermBog,Y,TSF,"1997","1994","116","5",MJuJAS,C,"4","16",NA,NA,"0.977266212","9.49","-0.51",NA,"5.82",NA,NA,NA,"-3.9","585",NA,"10.66",NA,NA,NA,NA,"-25",NA,NA,NA,NA,NA,NA,NA,NA,S,NA,N,NA,P,A,A,A,A,"-2.44",ThompsonPermBog,"519.239","6","1.23044892137827","2694",-98.25,55.75,100.00,1747826207.999999761581421,0.00,3.64,0.00,54.51,37.01,9.61,0.00,1.92,8.39,17.09,4.74,2.09,1.47,0.00,0.76,0.37,0.00,0.04,0.11,0.00,0.08,0.03,0.00,0.00,1.62,3.64,0.00,0.00,51.93,59.64,35.16,38.73,8.99,11.66,0.00,0.02,1.81,2.25,8.39,17.18,15.99,19.16,3.66,4.74,2.09,2.45,1.47,2.10,0.00,0.00,0.54,0.96,0.37,2.15,0.00,0.00,0.00,0.17,0.00,0.37,0.00,0.00,0.08,0.72,0.00,0.03,"6",-22.81220000000,-20.11220000000,-12.69740000000,-2.16036000000,6.09148000000,13.08780000000,16.36560000000,14.85070000000,8.52481000000,0.47667600000,-10.60110000000,-20.36800000000,-2.44619000000
